prec_no,station_name,block_no,station_type
11,中頓別,1051,a
11,北見枝幸,47402,s
11,声問,1528,a
11,宗谷岬,1284,a
11,幌泊,1593,a
11,本泊,1512,a
11,歌登,0005,a
11,沓形,0002,a
11,沼川,1203,a
11,浜頓別,0003,a
11,浜鬼志別,1285,a
11,礼文,1546,a
11,稚内,47401,s
11,船泊,1207,a
11,豊富,1054,a
12,上富良野,1190,a
12,上川,0015,a
12,下川,0010,a
12,中川,1201,a
12,占冠,1189,a
12,名寄,0008,a
12,和寒,1055,a
12,士別,0011,a
12,富良野,0021,a
12,幌加内,1053,a
12,幾寅,1188,a
12,志比内,1185,a
12,旭川,47407,s
12,朝日,1047,a
12,朱鞠内,1279,a
12,東川,1184,a
12,東神楽,1458,a
12,比布,1048,a
12,江丹別,1191,a
12,美深,0006,a
12,美瑛,1052,a
12,音威子府,1197,a
12,麓郷,1280,a
13,初山別,1216,a
13,増毛,0028,a
13,天塩,0024,a
13,幌糠,1218,a
13,焼尻,1213,a
13,留萌,47406,s
13,羽幌,47404,s
13,達布,1217,a
13,遠別,0025,a
14,千歳,1459,a
14,厚田,1194,a
14,山口,0031,a
14,恵庭島松,0035,a
14,支笏湖畔,0037,a
14,新篠津,0030,a
14,札幌,47412,s
14,江別,1507,a
14,浜益,1193,a
14,石狩,1085,a
14,西野幌,1076,a
15,夕張,0049,a
15,岩見沢,47413,s
15,月形,0999,a
15,深川,0039,a
15,滝川,0041,a
15,石狩沼田,0038,a
15,秩父別,1674,a
15,空知吉野,1287,a
15,美唄,0044,a
15,芦別,0043,a
15,長沼,0047,a
16,余市,0052,a
16,倶知安,47433,s
16,共和,0054,a
16,喜茂別,0060,a
16,寿都,47421,s
16,小樽,47411,s
16,真狩,1072,a
16,神恵内,1208,a
16,美国,0051,a
16,蘭越,0055,a
16,黒松内,0061,a
17,佐呂間,0070,a
17,北見,0074,a
17,境野,1209,a
17,女満別,1460,a
17,宇登呂,0981,a
17,小清水,0075,a
17,常呂,0068,a
17,斜里,0076,a
17,津別,0082,a
17,湧別,0065,a
17,滝上,0066,a
17,生田原,0072,a
17,留辺蘂,0077,a
17,白滝,1092,a
17,紋別,47435,s
17,紋別小向,1487,a
17,網走,47409,s
17,美幌,0079,a
17,興部,0063,a
17,西興部,1073,a
17,遠軽,0069,a
17,雄武,47405,s
18,上標津,1547,a
18,中標津,0086,a
18,別海,0088,a
18,厚床,1196,a
18,根室,47420,s
18,根室中標津,1489,a
18,標津,0085,a
18,納沙布,1056,a
18,羅臼,0084,a
18,計根別,0087,a
19,中徹別,0095,a
19,太田,1192,a
19,川湯,0090,a
19,弟子屈,1187,a
19,榊町,1195,a
19,標茶,0093,a
19,白糠,0098,a
19,知方学,1283,a
19,釧路,47418,s
19,阿寒湖畔,0091,a
19,鶴丘,1461,a
19,鶴居,1186,a
20,ぬかびら源泉郷,0103,a
20,上士幌,0107,a
20,上札内,1210,a
20,大樹,0121,a
20,大津,1214,a
20,帯広,47417,s
20,帯広泉,1510,a
20,広尾,47440,s
20,新得,0113,a
20,更別,1211,a
20,本別,0112,a
20,池田,0117,a
20,浦幌,0118,a
20,糠内,1286,a
20,芽室,0115,a
20,足寄,0109,a
20,陸別,0101,a
20,駒場,1204,a
20,鹿追,0114,a
21,伊達,0132,a
21,厚真,0124,a
21,大岸,0128,a
21,大滝,1067,a
21,室蘭,47423,s
21,森野,0126,a
21,登別,0134,a
21,白老,0130,a
21,穂別,0125,a
21,苫小牧,47424,s
21,鵡川,0131,a
22,えりも岬,1340,a
22,三石,1198,a
22,中杵臼,1288,a
22,新和,0137,a
22,日高,1202,a
22,日高門別,0136,a
22,浦河,47426,s
22,静内,0140,a
23,八雲,0144,a
23,函館,47430,s
23,北斗,0148,a
23,川汲,0147,a
23,木古内,0917,a
23,松前,0152,a
23,森,0145,a
23,熊石,0155,a
23,長万部,0143,a
23,高松,1462,a
24,せたな,0153,a
24,今金,0154,a
24,奥尻,1199,a
24,江差,47428,s
24,米岡,1513,a
24,鶉,1200,a
31,むつ,47576,s
31,三戸,0179,a
31,三沢,0169,a
31,五所川原,0164,a
31,今別,1026,a
31,休屋,0177,a
31,八戸,47581,s
31,六ケ所,1027,a
31,十和田,0172,a
31,大間,1041,a
31,小田野沢,1122,a
31,市浦,1119,a
31,弘前,0166,a
31,深浦,47574,s
31,碇ケ関,0175,a
31,脇野沢,1124,a
31,蟹田,0160,a
31,酸ケ湯,1079,a
31,野辺地,0162,a
31,青森,47575,s
31,青森大谷,1495,a
31,鰺ケ沢,0163,a
31,黒石,0167,a
32,にかほ,0199,a
32,五城目,0188,a
32,八幡平,1289,a
32,八森,1043,a
32,大曲,0195,a
32,大正寺,1050,a
32,大潟,1035,a
32,大館,0912,a
32,岩見三内,0192,a
32,本荘,0196,a
32,東由利,1117,a
32,横手,0198,a
32,湯の岱,0204,a
32,湯沢,0202,a
32,湯瀬,0186,a
32,田沢湖,0194,a
32,男鹿,1036,a
32,矢島,0200,a
32,秋田,47582,s
32,能代,0183,a
32,脇神,1463,a
32,角館,0193,a
32,阿仁合,1131,a
32,雄和,1511,a
32,鷹巣,0184,a
32,鹿角,0185,a
33,一関,0238,a
33,久慈,0209,a
33,二戸,0207,a
33,住田,1206,a
33,北上,0230,a
33,区界,1447,a
33,千厩,0239,a
33,大船渡,47512,s
33,大迫,0228,a
33,奥中山,1215,a
33,好摩,1032,a
33,宮古,47585,s
33,小本,1212,a
33,山形,1219,a
33,山田,1033,a
33,岩手松尾,0214,a
33,岩泉,0218,a
33,川井,1224,a
33,新町,1628,a
33,普代,1123,a
33,江刺,0236,a
33,沢内,1118,a
33,湯田,0229,a
33,盛岡,47584,s
33,種市,0205,a
33,紫波,1128,a
33,花巻,0227,a
33,若柳,0235,a
33,荒屋,1120,a
33,葛巻,0211,a
33,薮川,1078,a
33,軽米,0206,a
33,遠野,0231,a
33,釜石,0233,a
33,門馬,1225,a
33,陸前高田,1629,a
33,雫石,0221,a
34,丸森,1220,a
34,亘理,0257,a
34,仙台,47590,s
34,古川,0247,a
34,名取,1464,a
34,塩釜,1030,a
34,大衡,0248,a
34,女川,1626,a
34,川崎,0254,a
34,川渡,0243,a
34,志津川,0246,a
34,新川,0251,a
34,東松島,1631,a
34,桃生,1630,a
34,気仙沼,0242,a
34,江ノ島,1290,a
34,白石,0256,a
34,石巻,47592,s
34,築館,0244,a
34,米山,1029,a
34,蔵王,1564,a
34,駒ノ湯,1126,a
34,鹿島台,0249,a
35,向町,0910,a
35,大井沢,1292,a
35,小国,0277,a
35,尾花沢,1039,a
35,山形,47588,s
35,左沢,0272,a
35,差首鍋,0260,a
35,新庄,47520,s
35,村山,1539,a
35,東根,1488,a
35,楯岡,0271,a
35,浜中,1465,a
35,狩川,0264,a
35,米沢,0279,a
35,肘折,1125,a
35,酒田,47587,s
35,金山,0262,a
35,長井,0275,a
35,飛島,1291,a
35,高峰,0278,a
35,高畠,1132,a
35,鶴岡,0263,a
35,鼠ケ関,1040,a
36,上遠野,1127,a
36,二本松,0291,a
36,南郷,0301,a
36,古殿,1634,a
36,只見,0297,a
36,喜多方,0286,a
36,小名浜,47598,s
36,小野新町,0304,a
36,山田,1607,a
36,川内,1129,a
36,広野,1034,a
36,新地,1633,a
